bench,mode,status,reductions,cata,ana,para,hylo,lines,result
QuadTreeMorphM,plain,RAN,77168,0,0,0,0,1267,1255315216
QuadTreeMorphM,morph,RAN,77168,0,0,0,0,1267,1255315216
QuadTreeMorphM,mmorph,RAN,77168,0,0,0,0,1267,1255315216
QuadTreeMorphX,plain,RAN,93302,0,0,0,0,1346,1255315216
QuadTreeMorphX,morph,RAN,93302,0,0,0,0,1346,1255315216
QuadTreeMorphX,mmorph,RAN,93302,0,0,0,0,1346,1255315216
QuadTreeMorphXFix,plain,RAN,108953,0,0,0,0,1502,1255315216
QuadTreeMorphXFix,morph,RAN,109190,0,0,2,0,1512,1255315216
QuadTreeMorphXFix,mmorph,RAN,108953,0,0,0,0,1502,1255315216
QuadTreePure,plain,RAN,79641,0,0,0,0,1173,1255315216
QuadTreePure,morph,RAN,79641,0,0,0,0,1173,1255315216
QuadTreePure,mmorph,RAN,79641,0,0,0,0,1173,1255315216
QueueMorph,plain,RAN,20087,0,0,0,0,641,-1316886862
QueueMorph,morph,RAN,20483,1,0,0,0,641,-1316886862
QueueMorph,mmorph,RAN,20087,0,0,0,0,641,-1316886862
QueueMorphM,plain,RAN,17799,0,0,0,0,594,-1316886862
QueueMorphM,morph,RAN,17799,0,0,0,0,594,-1316886862
QueueMorphM,mmorph,RAN,17799,0,0,0,0,594,-1316886862
QueueMorphX,plain,RAN,17229,0,0,0,0,695,-1316886862
QueueMorphX,morph,RAN,17229,0,0,0,0,695,-1316886862
QueueMorphX,mmorph,RAN,17229,0,0,0,0,695,-1316886862
QueueMorphXFix,plain,RAN,19518,0,0,0,0,725,-1316886862
QueueMorphXFix,morph,RAN,21760,0,0,2,0,735,-1316886862
QueueMorphXFix,mmorph,RAN,19518,0,0,0,0,725,-1316886862
QueuePure,plain,RAN,18736,0,0,0,0,597,-1316886862
QueuePure,morph,RAN,18736,0,0,0,0,597,-1316886862
QueuePure,mmorph,RAN,18736,0,0,0,0,597,-1316886862
QuickSortMorph,plain,RAN,39731,0,0,0,0,499,-26356897
QuickSortMorph,morph,RAN,39991,1,0,1,0,500,-26356897
QuickSortMorph,mmorph,RAN,39731,0,0,0,0,498,-26356897
QuickSortMorphM,plain,RAN,35587,0,0,0,0,456,-26356897
QuickSortMorphM,morph,RAN,35843,1,0,0,0,457,-26356897
QuickSortMorphM,mmorph,RAN,35587,0,0,0,0,455,-26356897
QuickSortMorphX,plain,RAN,38695,0,0,0,0,482,-26356897
QuickSortMorphX,morph,RAN,38951,1,0,0,0,483,-26356897
QuickSortMorphX,mmorph,RAN,38695,0,0,0,0,481,-26356897
QuickSortMorphXFix,plain,RAN,38688,0,0,0,0,505,-26356897
QuickSortMorphXFix,morph,RAN,38982,1,0,1,0,511,-26356897
QuickSortMorphXFix,mmorph,RAN,38688,0,0,0,0,504,-26356897
QuickSortPure,plain,RAN,35331,0,0,0,0,453,-26356897
QuickSortPure,morph,RAN,35587,1,0,0,0,454,-26356897
QuickSortPure,mmorph,RAN,35331,0,0,0,0,452,-26356897
RoseTreeMorph,plain,RAN,8005,0,0,0,0,576,2111870790
RoseTreeMorph,morph,RAN,8005,0,0,0,0,576,2111870790
RoseTreeMorph,mmorph,RAN,8005,0,0,0,0,576,2111870790
RoseTreeMorphM,plain,RAN,6637,0,0,0,0,552,2111870790
RoseTreeMorphM,morph,RAN,6637,0,0,0,0,552,2111870790
RoseTreeMorphM,mmorph,RAN,6637,0,0,0,0,552,2111870790
RoseTreeMorphX,plain,RAN,9393,0,0,0,0,648,2111870790
RoseTreeMorphX,morph,RAN,9393,0,0,0,0,648,2111870790
RoseTreeMorphX,mmorph,RAN,9393,0,0,0,0,648,2111870790
RoseTreeMorphXFix,plain,RAN,10592,0,0,0,0,712,2111870790
RoseTreeMorphXFix,morph,RAN,10667,0,0,2,0,722,2111870790
RoseTreeMorphXFix,mmorph,RAN,10592,0,0,0,0,712,2111870790
RoseTreePure,plain,RAN,6998,0,0,0,0,578,2111870790
RoseTreePure,morph,RAN,6998,0,0,0,0,578,2111870790
RoseTreePure,mmorph,RAN,6998,0,0,0,0,578,2111870790
TupleMorph,plain,RAN,961,0,0,0,0,522,-1638190443
TupleMorph,morph,RAN,961,0,0,0,0,522,-1638190443
TupleMorph,mmorph,RAN,961,0,0,0,0,522,-1638190443
TupleMorphM,plain,RAN,757,0,0,0,0,449,-1749017355
TupleMorphM,morph,RAN,757,0,0,0,0,449,-1749017355
TupleMorphM,mmorph,RAN,757,0,0,0,0,449,-1749017355
TupleMorphX,plain,RAN,761,0,0,0,0,551,-718394882
TupleMorphX,morph,RAN,761,0,0,0,0,551,-718394882
TupleMorphX,mmorph,RAN,761,0,0,0,0,551,-718394882
TupleMorphXFix,plain,RAN,836,0,0,0,0,598,-718394882
TupleMorphXFix,morph,RAN,855,0,0,3,0,608,-718394882
TupleMorphXFix,mmorph,RAN,836,0,0,0,0,598,-718394882
TuplePure,plain,RAN,761,0,0,0,0,472,-1638190443
TuplePure,morph,RAN,761,0,0,0,0,472,-1638190443
TuplePure,mmorph,RAN,761,0,0,0,0,472,-1638190443
ZipperMorph,plain,RAN,9747,0,0,0,0,772,-710464603
ZipperMorph,morph,RAN,9987,1,0,0,0,772,-710464603
ZipperMorph,mmorph,RAN,9747,0,0,0,0,772,-710464603
ZipperMorphM,plain,RAN,8469,0,0,0,0,726,-710464603
ZipperMorphM,morph,RAN,8469,0,0,0,0,726,-710464603
ZipperMorphM,mmorph,RAN,8469,0,0,0,0,726,-710464603
ZipperMorphX,plain,RAN,9827,0,0,0,0,821,-710464603
ZipperMorphX,morph,RAN,9827,0,0,0,0,821,-710464603
ZipperMorphX,mmorph,RAN,9827,0,0,0,0,821,-710464603
ZipperMorphXFix,plain,RAN,11464,0,0,0,0,898,-710464603
ZipperMorphXFix,morph,RAN,11713,0,0,2,0,908,-710464603
ZipperMorphXFix,mmorph,RAN,11464,0,0,0,0,898,-710464603
ZipperPure,plain,RAN,13201,0,0,0,0,764,739504078
ZipperPure,morph,RAN,13529,1,0,0,0,765,739504078
ZipperPure,mmorph,RAN,13201,0,0,0,0,763,739504078
